searge,name,side,desc
field_70009_b,buffer,2,
field_70116_cv,serverPosZ,2,
field_70117_cu,serverPosY,2,
field_70118_ct,serverPosX,2,
field_70121_D,boundingBox,2,
field_70122_E,onGround,2,
field_70123_F,collidedHorizontally,2,
field_70124_G,collidedVertically,2,
field_70125_A,rotationPitch,2,
field_70126_B,prevRotationYaw,2,
field_70127_C,prevRotationPitch,2,
field_70128_L,removed,2,
field_70132_H,collided,2,
field_70133_I,velocityChanged,2,
field_70136_U,lastTickPosZ,2,
field_70137_T,lastTickPosY,2,
field_70138_W,stepHeight,2,
field_70140_Q,distanceWalkedModified,2,
field_70141_P,prevDistanceWalkedModified,2,
field_70142_S,lastTickPosX,2,
field_70143_R,fallDistance,2,
field_70144_Y,entityCollisionReduction,2,
field_70145_X,noClip,2,
field_70146_Z,rand,2,
field_70148_d,firstUpdate,2,
field_70150_b,nextStepDistance,2,
field_70155_l,renderDistanceWeight,2,
field_70156_m,preventEntitySpawning,2,
field_70158_ak,ignoreFrustumCheck,2,
field_70160_al,isAirBorne,2,
field_70161_v,posZ,2,
field_70162_ai,chunkCoordY,2,
field_70163_u,posY,2,
field_70164_aj,chunkCoordZ,2,
field_70165_t,posX,2,
field_70166_s,prevPosZ,2,
field_70167_r,prevPosY,2,
field_70169_q,prevPosX,2,
field_70170_p,world,2,
field_70171_ac,inWater,2,
field_70172_ad,hurtResistantTime,2,
field_70173_aa,ticksExisted,2,
field_70175_ag,addedToChunk,2,
field_70176_ah,chunkCoordX,2,
field_70177_z,rotationYaw,2,
field_70180_af,dataManager,2,
field_70191_b,throwableShake,2,
field_70192_c,owner,2,
field_70221_f,shatterOrDrop,2,
field_70222_d,targetZ,2,
field_70223_e,despawnTimer,2,
field_70224_b,targetX,2,
field_70225_c,targetY,2,
field_70230_d,accelerationZ,2,
field_70232_b,accelerationX,2,
field_70233_c,accelerationY,2,
field_70234_an,ticksInAir,2,
field_70235_a,shootingEntity,2,
field_70236_j,ticksAlive,2,
field_70249_b,arrowShake,2,
field_70250_c,shootingEntity,2,
field_70251_a,pickupStatus,2,
field_70252_j,ticksInGround,2,
field_70254_i,inGround,2,
field_70255_ao,damage,2,
field_70256_ap,knockbackStrength,2,
field_70257_an,ticksInAir,2,
field_70261_a,innerRotation,2,
field_70262_b,lightningState,2,
field_70263_c,boltLivingTime,2,
field_70264_a,boltVertex,2,
field_70273_g,lerpYaw,2,
field_70281_h,lerpX,2,
field_70290_d,hoverStart,2,
field_70291_e,health,2,
field_70292_b,age,2,
field_70457_g,itemStack,2,
field_70458_d,player,2,
field_70460_b,armorInventory,2,
field_70461_c,currentItem,2,
field_70462_a,mainInventory,2,
field_70464_b,width,2,
field_70465_c,eventHandler,2,
field_70466_a,stackList,2,
field_70467_a,stackResult,2,
field_70473_e,currentRecipeIndex,2,
field_70474_b,slots,2,
field_70476_a,merchant,2,
field_70477_b,upperChest,2,
field_70478_c,lowerChest,2,
field_70480_d,listeners,2,
field_70481_b,slotsCount,2,
field_70482_c,inventoryContents,2,
field_70488_a,associatedChest,2,
field_70499_f,isInReverse,2,
field_70500_g,MATRIX,2,
